"ExpenditureKey","IOSectorKey","Share"
"EG11202",163,1
"EG11202",164,1
"EG11203",160,100
"EG11204",160,100
"EG113",170,100
"EG114",,100
"EG115",,100
"EG116",171,100
"EG11701",162,100
"EG11702",162,100
"EG11703",162,100
"EG11704",161,100
"EG11705",161,100
"EG11706",180,100
"EG11707",161,100
"EG11708",162,30
"EG11708",161,70
"EG118",176,100
"EG119",160,100
"EG120",151,10
"EG120",163,1
"EG120",164,1
"EG120",180,88
"EF0101",54,100
"EF0102",54,100
"EF0103",53,100
"EF0104",53,100
"EF0105",3,100
"EF0106",1,1
"EF0106",49,99
"EF0107",1,1
"EF0107",49,99
"EF0108",52,100
"EF0109",52,100
"EF0110",52,100
"EF0111",54,100
"EF0112",54,100
"EF0113",60,100
"EF0114",50,25
"EF0114",52,25
"EF0114",53,25
"EF0114",54,25
"EF0201",42,100
"EF0202",42,100
"EF0203",42,100
"EF0204",42,100
"EF0205",21,50
"EF0205",42,50
"EF0206",20,25
"EF0206",21,25
"EF0206",42,25
"EF0206",27,25
"EF0207",43,100
"EF0208",43,100
"EF0209",43,100
"EF0210",43,100
"EF0211",43,100
"EF0212",43,100
"EF0301",29,100
"EF0302",29,100
"EF0303",29,100
"EF0304",29,100
"EF0305",29,100
"EF0306",29,100
"EF0307",29,100
"EF0308",28,100
"EF0309",28,100
"EF0310",29,100
"EF0311",29,100
"EF0312",28,100
"EF0313",28,100
"EF0314",29,100
"EF0315",28,100
"EF0316",28,100
"EF0317",28,100
"EF0318",28,100
"EF0319",29,100
"EF0320",28,70
"EF0320",29,30
"EF0321",46,100
"EF0322",46,100
"EF0323",46,100
"EF0324",46,100
"EF0325",46,100
"EF0326",46,100
"EF0327",46,100
"EF0328",46,100
"EF0329",46,100
"EF0330",46,100
"EF0331",46,100
"EF0332",46,100
"EF0333",46,50
"EF0333",28,50
"EF0334",46,100
"EF0401",44,100
"EF0402",44,100
"EF0403",44,100
"EF0404",6,100
"EF0405",22,100
"EF0406",22,100
"EF0407",60,100
"EF0408",22,33
"EF0408",28,33
"EF0408",29,33
"EF0409",44,100
"EF0410",44,100
"EF0411",44,50
"EF0411",60,50
"EF0412",44,100
"EF0501",47,50
"EF0501",48,50
"EF0502",48,100
"EF0503",10,50
"EF0503",60,50
"EF0504",10,100
"EF0505",47,50
"EF0505",48,50
"EF0601",8,100
"EF0602",8,100
"EF0603",8,100
"EF0604",8,100
"EF0605",8,100
"EF0606",8,100
"EF0607",8,100
"EF0608",8,100
"EF0609",8,100
"EF0610",8,100
"EF0611",8,100
"EF0612",8,100
"EF0613",8,100
"EF0614",8,100
"EF0615",8,100
"EF0616",8,100
"EF0617",8,100
"EF0618",8,100
"EF0619",10,100
"EF0620",8,94
"EF0620",11,1
"EF0620",27,5
"EF0621",45,100
"EF0622",45,100
"EF0623",6,100
"EF0624",45,100
"EF0625",6,100
"EF0701",7,100
"EF0702",7,100
"EF0703",7,100
"EF0704",7,100
"EF0705",7,100
"EF0706",7,100
"EF0707",7,100
"EF0708",7,100
"EF0709",7,100
"EF0710",7,100
"EF0711",7,100
"EF0712",7,100
"EF0713",7,100
"EF0714",7,100
"EF0715",7,100
"EF0716",7,100
"EF0717",7,100
"EF0718",7,100
"EF0719",7,100
"EF0720",7,100
"EF0721",7,100
"EF0722",7,100
"EF0723",6,100
"EF0724",7,100
"EF0725",7,100
"EF0726",6,100
"EF0727",7,100
"EF0728",7,100
"EF0729",7,100
"EF0730",7,100
"EF0731",2,100
"EF0732",7,100
"EF0733",7,45
"EF0733",9,10
"EF0733",4,20
"EF0733",5,15
"EF0733",27,10
"EF0734",45,100
"EF0735",45,100
"EF0736",45,100
"EF0737",45,100
"EF0738",45,100
"EF0739",45,100
"EF0740",45,100
"EF0741",45,100
"EF0801",56,100
"EF0802",44,100
"EF0803",44,33
"EF0803",53,33
"EF0803",56,33
"EF0804",55,100
"EF0805",55,100
"EF0806",55,33
"EF0806",56,33
"EF0806",45,33
"EF0901",60,100
"EF0902",60,100
"EF0903",60,100
"EF0904",60,100
"EF0905",60,100
"EF0906",60,100
"EF0907",60,100
"EF0908",60,100
"EF0909",60,100
"EF0910",60,100
"EF0911",60,100
"EF0912",60,100
"EF0913",58,100
"EF0914",60,100
"EF0915",60,100
"EF1001",59,100
"EF1002",59,100
"EF1003",59,100
"EF1004",55,100
"EF1005",59,50
"EF1005",55,50
"EF1101",64,100
"EF1102",64,100
"EF1103",45,50
"EF1103",9,50
"EF1104",45,50
"EF1104",9,50
"EF1105",64,100
"EF1106",57,100
"EF1107",59,10
"EF1107",55,1
"EF1107",57,25
"EF1107",147,64
"EF1108",59,100
"EF1109",59,100
"EF1110",64,100
"EF1111",64,100
"EF1112",59,50
"EF1112",64,50
"EF1201",147,100
"EF1202",147,100
"EF1203",147,100
"EF1204",147,100
"EF1205",147,100
"EF1206",147,100
"EF1207",147,100
"EF1208",147,100
"EF1209",147,100
"EF1210",147,100
"EF1211",147,100
"EF1212",147,100
"EF1213",147,100
"EF1214",147,100
"EF1215",147,100
"EF1216",147,100
"EF1217",147,100
"EF1218",147,100
"EF1219",147,100
"EF1220",147,100
"EF1221",147,100
"EF1222",147,100
"EF1223",147,100
"EF1224",147,33
"EF1224",49,33
"EF1224",54,33
"EF1225",147,100
"EF13_101",147,100
"EF13_102",147,100
"EF13_103",147,100
"EF13_104",147,100
"EF13_105",147,100
"EF13_106",147,100
"EF13_107",147,100
"EF13_108",147,100
"EF13_109",147,100
"EF13_110",147,100
"EF13_111",147,100
"EF13_112",147,100
"EF13_113",147,100
"EF13_114",147,100
"EF13_115",147,100
"EF13_116",147,100
"EF13_117",147,100
"EF13_118",147,100
"EF13_119",147,100
"EF13_120",147,100
"EF13_201",147,100
"EF13_202",147,100
"EF13_203",147,100
"EF13_204",147,100
"EF13_205",147,100
"EF13_206",147,100
"EF13_207",147,100
"EF13_208",147,100
"EF13_209",147,100
"EF13_210",147,100
"EF13_211",147,100
"EF13_212",147,100
"EF13_213",147,100
"EF13_214",147,100
"EF13_215",147,100
"EF13_216",147,100
"EF13_217",147,100
"EF13_218",147,100
"EF13_219",147,100
"EF13_220",147,100
"EF13_221",147,100
"EF13_222",147,100
"EF13_223",147,100
"EF13_224",147,100
"EF13_301",147,100
"EF13_302",147,100
"EF13_303",147,100
"EF13_304",147,100
"EF13_305",147,100
"EF13_306",147,100
"EF13_307",147,100
"EF13_308",147,100
"EF13_309",147,100
"EF13_310",147,100
"EF13_311",147,100
"EF13_312",147,100
"EF13_313",147,100
"EF13_314",147,100
"EF13_315",147,100
"EF13_316",147,100
"EF13_317",147,100
"EF13_318",147,100
"EF13_319",147,100
"EF13_320",147,100
"EF13_321",147,100
"EF13_322",147,100
"EF13_323",147,100
"EF13_324",147,100
"EF13_4",147,80
"EF13_4",173,20
"EF1401",63,100
"EF1402",62,100
"EF1403",62,100
"EF1404",62,100
"EF1501",63,50
"EF1501",147,50
"EF1502",62,50
"EF1502",147,50
"EF1503",62,50
"EF1503",147,50
"EF1504",62,50
"EF1504",147,50
"EF16",14,50
"EF16",66,50
"EF17",8,33
"EF17",11,33
"EF17",66,33
