ExpenditureKey,ThaiExpenditureName,EnglishExpenditureName,ExpenditureGroup1Key,ThaiExpenditureGroup1Name,EnglishExpenditureGroup1Name,ExpenditureGroup2Key,ThaiExpenditureGroup2Name,EnglishExpenditureGroup2Name,ExpenditureGroup3Key,ThaiExpenditureGroup3Name,EnglishExpenditureGroup3Name,ExpenditureGroup4Key,ThaiExpenditureGroup4Name,EnglishExpenditureGroup4Name
EF0202BC,เครื่องในหมูสด (สิ่งของ),Fresh pork offal (in-kind),EF0202BC,เครื่องในหมูสด (สิ่งของ),Fresh pork offal (in-kind),EF02BC,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (สิ่งของ),Meat and poultry (in-kind),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0203A,เนื้อวัว/ควาย สด (ทุกส่วน ยกเว้นเครื่องใน) (ตัวเงิน),Fresh beef/buffalo (all parts except offal) (cash),EF0203A,เนื้อวัว/ควาย สด (ทุกส่วน ยกเว้นเครื่องใน) (ตัวเงิน),Fresh beef/buffalo (all parts except offal) (cash),EF02A,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (ตัวเงิน),Meat and poultry (cash),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0203BC,เนื้อวัว/ควาย สด (ทุกส่วน ยกเว้นเครื่องใน) (สิ่งของ),Fresh beef/buffalo (all parts except offal) (in-kind),EF0203BC,เนื้อวัว/ควาย สด (ทุกส่วน ยกเว้นเครื่องใน) (สิ่งของ),Fresh beef/buffalo (all parts except offal) (in-kind),EF02BC,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (สิ่งของ),Meat and poultry (in-kind),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0204A,เครื่องในวัว/ควาย สด (ตัวเงิน),Fresh cow/buffalo offal (cash),EF0204A,เครื่องในวัว/ควาย สด (ตัวเงิน),Fresh cow/buffalo offal (cash),EF02A,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (ตัวเงิน),Meat and poultry (cash),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0204BC,เครื่องในวัว/ควาย สด (สิ่งของ),Fresh cow/buffalo offal (in-kind),EF0204BC,เครื่องในวัว/ควาย สด (สิ่งของ),Fresh cow/buffalo offal (in-kind),EF02BC,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (สิ่งของ),Meat and poultry (in-kind),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0205A,ไก่สด (ทุกส่วน รวมเครื่องใน) (ตัวเงิน),Fresh Chicken (all parts including offal) (cash),EF0205A,ไก่สด (ทุกส่วน รวมเครื่องใน) (ตัวเงิน),Fresh Chicken (all parts including offal) (cash),EF02A,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (ตัวเงิน),Meat and poultry (cash),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0205BC,ไก่สด (ทุกส่วน รวมเครื่องใน) (สิ่งของ),Fresh Chicken (all parts including offal) (in-kind),EF0205BC,ไก่สด (ทุกส่วน รวมเครื่องใน) (สิ่งของ),Fresh Chicken (all parts including offal) (in-kind),EF02BC,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (สิ่งของ),Meat and poultry (in-kind),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0206A,เนื้อสัตว์อื่น ๆ (ตัวเงิน),Other meat (cash),EF0206A,เนื้อสัตว์อื่น ๆ (ตัวเงิน),Other meat (cash),EF02A,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (ตัวเงิน),Meat and poultry (cash),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0206BC,เนื้อสัตว์อื่น ๆ (สิ่งของ),Other meat (in-kind),EF0206BC,เนื้อสัตว์อื่น ๆ (สิ่งของ),Other meat (in-kind),EF02BC,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (สิ่งของ),Meat and poultry (in-kind),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
EF0207A,ไส้กรอกหมู/ไก่ (ตัวเงิน),Pork/chicken sausage (cash),EF0207A,ไส้กรอกหมู/ไก่ (ตัวเงิน),Pork/chicken sausage (cash),EF02A,เนื้อสัตว์ และสัตว์ปีกทุกชนิด (ตัวเงิน),Meat and poultry (cash),EF_2,เนื้อสัตว์ และสัตว์ปีกทุกชนิด,Meat and Poultry,EFA,ค่าใช้จ่ายอาหารและเครื่องดื่ม,Expenditure on food and beverages
